dataset,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC, postprocessor
covid,0.59,99.78,99.98,93.61,96.59, XAI (equivalente a 100% BestXAI)
nearood,0.59,99.78,99.98,93.61,96.59, XAI
cifar10,0.09,99.98,99.98,99.97,96.59, XAI
farood,0.09,99.98,99.98,99.97,96.59, XAI
covid,2.21,98.96,99.93,74.70,96.59, XAI norm
nearood,2.21,98.96,99.93,74.70,96.59, XAI norm
cifar10,0.08,99.98,99.98,99.97,96.59, XAI norm
farood,0.08,99.98,99.98,99.97,96.59, XAI norm
covid,12.88,93.55,99.55,33.12,96.59, 75% BestXAI
nearood,12.88,93.55,99.55,33.12,96.59, 75% BestXAI
cifar10,3.58,99.28,99.49,99.05,96.59, 75% BestXAI
farood,3.58,99.28,99.49,99.05,96.59, 75% BestXAI
covid,7.51,96.81,99.78,51.85,96.59, 80% BestXAI
nearood,7.51,96.81,99.78,51.85,96.59, 80% BestXAI
cifar10,1.78,99.61,99.72,99.49,96.59, 80% BestXAI
farood,1.78,99.61,99.72,99.49,96.59, 80% BestXAI
covid,1.51,99.49,99.96,88.53,96.59, 90% BestXAI
nearood,1.51,99.49,99.96,88.53,96.59, 90% BestXAI
cifar10,0.13,99.94,99.96,99.92,96.59, 90% BestXAI
farood,0.13,99.94,99.96,99.92,96.59, 90% BestXAI
